SNID,SURVEY,RA,DECL,SUBCLASS,REDSHIFT_FINAL,SIGMA_Z,LOG_HOSTMASS,GRIZ_MU,GRIZ_MU_ERR,GRIZ_AV,GRIZ_AV_ERR,GRIZ_THETA,GRIZ_THETA_ERR,GRIZ_T0,GRIZ_T0_ERR,GRIZ_REDCHI2,GRI_MU,GRI_MU_ERR,GRI_T0,GRI_T0_ERR,GRI_THETA,GRI_THETA_ERR,GRI_AV,GRI_AV_ERR,Z_MU,Z_MU_ERR,Z_THETA,Z_THETA_ERR,N_G_OBS,FIRST_G_OBS,N_R_OBS,FIRST_R_OBS,N_I_OBS,FIRST_I_OBS,N_Z_OBS,FIRST_Z_OBS
2020inp,YSE,226.622583,10.266889,SNIax,0.0705288590015163,-9999.0,-9999.0,38.1003491,0.14701949435088535,0.912851275,0.1738543311767739,1.9267521314999998,0.702841388371136,58972.2745,1.7025215857664064,1.0799113823062478,38.09906539999999,0.16445972620322583,58972.7343,2.189505311708558,1.9077806043,0.6981464522946618,0.8971694800000001,0.1736706954631368,38.885157099999994,0.25294074181434273,-0.043950489992299994,1.0065471366372927,2,58968.42,4,58968.43,3,58972.44,1,58970.42
2020ioz,YSE,195.94825,20.902494,SNIa-norm,0.06109556632008402,-9999.0,7.832681799142385,37.360717,0.04486531255881324,0.0669423911942,0.04676461449981582,-0.980614385,0.18976597440984191,58976.9398,0.35176122583370895,0.5716717446342725,37.3304694,0.06272524072205696,58976.9531,0.35711397340343876,-0.84189661,0.2169950708532014,0.06600083750199999,0.04333207409238198,37.4625282,0.0683841831475672,-1.2391809491,0.42107678474705523,7,58971.29,5,58981.41,6,58969.32,4,58971.29
2020jgl,YSE,142.243417,-14.805574,SNIa-norm,0.0075371475822784036,2e-05,-9999.0,32.4957127,0.038828849438400925,0.282099265,0.050314369631356555,-0.24839762837799997,0.12855425564421044,58992.449400000005,0.08944070661497104,26.795970018128575,32.5722435,0.05408497737588506,58992.63139999999,0.11642181926086406,-0.108996558295,0.1787762565431886,0.18613147739,0.0689764193567691,32.6506216,0.040405186467086095,-0.32817504894,0.19259748660673603,10,58985.26,10,58987.26,12,58985.26,12,58985.26
2020jny,YSE,180.74375,20.08544,SNIa-norm,0.025832737926982808,1.67e-05,-9999.0,35.34613409999999,0.048433673277896126,0.053301165314999996,0.03713198040201556,1.2942121219999998,0.14957964129282805,58993.197,0.2114970448968138,0.8257575329388168,35.3365574,0.044137248727577065,58993.1114,0.22766211806101774,1.400764666,0.17597122695856401,0.044405018233000006,0.03634870869424439,35.8295672,0.40600076064480467,0.035746913681999996,0.9826257606236346,7,58985.37,8,58987.33,6,58985.37,1,59030.28
2020juq,YSE,236.286792,21.878269,SNIa-norm,0.11686361369371075,-9999.0,-9999.0,38.721496,0.14156822745234887,0.1913755820313,0.15901838633938564,-0.8042159051700001,0.5132030312719349,58985.798200000005,1.4232978465521318,0.6233497509848823,38.705274900000006,0.15615604637666136,58986.268099999994,1.8704257242669902,-0.77998859886,0.5378032487665412,0.22585861859000003,0.1763048693993316,38.683391199999996,0.1860973464146116,-0.024678502171699986,0.9504876368924055,7,58982.51,2,59006.48,6,58988.49,3,58978.56
2020kaj,YSE,203.703579,28.402486,SNIa-norm,0.13858007061671979,-9999.0,-9999.0,38.911959800000005,0.12320386424118349,0.144151697109,0.11192429432570122,-0.14349836899999996,0.42681647479053464,58987.1725,0.833458907205413,0.5608020197531681,38.986857799999996,0.13219062576128462,58986.9404,0.8577341313016207,-0.33398824605599997,0.4532586989845585,0.11941723963099998,0.10391363090900417,38.6290098,0.22145934115308846,-0.0022246739919999994,1.025402153307887,5,58984.28,7,58981.4,5,58981.4,1,58999.36
2020kbl,YSE,243.817746,21.093383,SNIa-norm,0.07907190246927426,5.73e-06,10.750462532043457,37.436423600000005,0.08520900576253672,0.5905777579999999,0.09705687156462152,0.423609363751,0.34741801807542433,58992.5019,0.6188589419245715,1.0106258986010954,37.4527022,0.09523553682927388,58991.66309999999,1.1816633996193688,-0.057739097977,0.41230800072667484,0.631212454,0.10779598366537542,37.6193538,0.10651159357346977,1.066609425005,0.5493002957960347,8,58982.51,3,59006.48,4,58984.49,5,58982.52
2020kre,YSE,197.624483,-1.314192,SNIa-CSM,0.1319216309304219,0.000213,-9999.0,38.343392200000004,0.15405860014669737,0.5957681714,0.19559040187436835,-3.9564825600000004,0.25422224556369255,59006.4734,1.3705810592592593,4.26641547277429,38.6318894,0.1801025821237442,59003.82919999999,7.5052093481797355,-4.403148560000001,0.26901271321096776,0.3638006444,0.20655158731760404,37.5476172,0.1717710679484761,-0.62456696192,0.5481573387898333,4,59014.27,5,59004.36,6,59004.36,3,59032.27
2020kvl,YSE,193.361146,-2.445875,SNIa-norm,0.11674973491161009,-9999.0,-9999.0,37.2674234,0.09245859036584969,0.18238808449000002,0.10971994730079963,-0.5841892953300001,0.23047821624943823,59012.023400000005,0.7245084126494677,0.8890688867514134,37.3917432,0.09614623556728576,59011.46540000001,0.8763234790874328,-0.992604248,0.2566743534112329,0.166321200019,0.10857402599383396,37.1540543,0.08368642710445948,0.24571712785900002,0.4860722406245374,5,59014.27,7,59004.36,5,59004.36,4,59007.28
2020lbf,YSE,310.934433,-1.238087,SNIa-norm,0.05483126596867224,0.00015,10.59160261977627,36.2203631,0.09831413625918711,0.10983857802500001,0.07548938573196848,-0.3699869578161,0.2840806082773884,59004.4345,0.9727177134195779,0.12880302348369194,36.2100309,0.12835903939804938,59004.591,0.9148437024978898,-0.45436465714999996,0.4322512552756903,0.14872839126140003,0.11503200816526185,36.201146699999995,0.3831555047093933,-0.03141693797000001,1.0612546077835985,4,59017.51,2,59022.53,2,59013.56,1,59041.55
